Customer_ID,Customer_Name,Gender,Date_of_Birth,Age,Phone_No,Email,City,State,Registration_Date
C0001,Shreya Kapoor,F,1997/04/16,28,9538357557,shreyakapoor@gmail. com,Noida,Uttar Pradesh,2018/05/23
C0002,Myra Singh,F,1995/07/25,30,9489734478,myrasingh@gmail. com,Surat,Gujarat,2019/09/07
C0003,Uday Singh,M,2001/06/08,24,9639238642,udaysingh@gmail. com,Jaipur,Rajasthan,2019/11/23
C0004,Riya Mehta,F,1980/12/15,45,8961297467,riyamehta@gmail. com,Visakhapatnam,Andhra Pradesh,2020/05/25
C0005,Aadhya Singh,F,1993/03/22,32,9822830667,aadhyasingh@gmail. com,Solapur,Maharashtra,2021/01/22
C0006,Devika Reddy,F,1969/09/22,56,9288770769,devikareddy@gmail. com,Jalandhar,Punjab,2019/05/15
C0007,Deepak Agarwal,M,1967/12/25,58,9630235528,deepakagarwal@gmail. com,Jalandhar,Punjab,2020/12/24
C0008,Lavanya Reddy,F,2007/11/07,18,9098564461,lavanyareddy@gmail. com,Firozabad,Uttar Pradesh,2020/11/30
C0009,Eshaan Mehta,M,1966/06/14,59,9043450309,eshaanmehta@gmail. com,Dhanbad,Jharkhand,2022/12/22
C0010,Sai Sharma,M,2004/10/17,21,9157418130,saisharma@gmail. com,Kolhapur,Maharashtra,2020/08/30
C0011,Arjun Mehta,M,1979/01/13,46,9450150352,arjunmehta@gmail. com,Firozabad,Uttar Pradesh,2021/04/14
C0012,Zara Joshi,F,1967/09/01,58,8964026742,zarajoshi@gmail. com,Hyderabad,Telangana,2021/01/06
C0013,Arjun Kumar,M,1976/10/08,49,9693116175,arjunkumar@gmail. com,Gulbarga,Karnataka,2018/08/14
C0014,Kavya Verma,F,1967/07/20,58,9070372894,kavyaverma@gmail. com,Coimbatore,Tamil Nadu,2021/12/14
C0015,Ishaan Bhatia,M,1973/09/26,52,9515538056,ishaanbhatia@gmail. com,Raipur,Chattisgarh,2018/11/16
C0016,Ira Desai,F,1992/02/25,33,9664644095,iradesai@gmail. com,Hyderabad,Telangana,2021/12/28
C0017,Ishaan Bhatia,M,1987/10/18,38,9328516878,ishaanbhatia1@gmail. com,Bareilly,Uttar Pradesh,2023/07/30
C0018,Vani Agarwal,F,1995/05/07,30,9624485317,vaniagarwal@gmail. com,Meerut,Uttar Pradesh,2020/05/05
C0019,Kavya Desai,F,1996/04/26,29,9681471085,kavyadesai@gmail. com,Vadodara,Gujarat,2019/04/28
C0020,Yashvi Rao,F,1969/01/18,56,9794642641,yashvirao@gmail. com,Panipat,Haryana,2019/07/31
C0021,Akash Reddy,M,2008/12/08,17,9985451177,akashreddy@gmail. com,Ludhiana,Punjab,2021/02/27
C0022,Krishna Desai,F,1967/07/09,58,9624964223,krishnadesai@gmail. com,Agra,Uttar Pradesh,2019/09/22
C0023,Ira Chowdhury,F,2006/11/25,19,8958674655,irachowdhury@gmail. com,Ajmer,Rajasthan,2020/12/02
C0024,Kunal Yadav,M,2008/10/22,17,9816971605,kunalyadav@gmail. com,Kolkata,West Bengal,2020/06/23
C0025,Aaryan Patel,M,1968/10/01,57,9850913457,aaryanpatel@gmail. com,Rourkela,Odisha,2020/07/29
C0026,Tushar Jain,M,1982/01/21,43,9469289920,tusharjain@gmail. com,Indore,Madhya Pradesh,2021/10/23
C0027,Reyansh Verma,M,1978/12/10,47,9957259609,reyanshverma@gmail. com,Solapur,Maharashtra,2019/05/13
C0028,Charvi Jain,F,1975/11/10,50,9319581553,charvijain@gmail. com,Aurangabad,Maharashtra,2018/01/31
C0029,Ira Gupta,F,1971/09/21,54,9022676048,iragupta@gmail. com,Varanasi,Uttar Pradesh,2018/02/05
C0030,Sai Mehta,M,1988/11/11,37,9391796603,saimehta@gmail. com,Howrah,West Bengal,2021/08/21
